episode,reward,length,loss,timestep
642,70.0,71,82.61309814453125,93703
643,176.0,177,82.61309814453125,93880
644,127.0,128,82.61309814453125,94008
645,133.0,134,82.61309814453125,94142
646,287.0,288,65.24266052246094,94430
647,176.0,177,65.24266052246094,94607
648,173.0,174,65.24266052246094,94781
649,85.0,86,65.24266052246094,94867
650,65.0,66,65.24266052246094,94933
651,133.0,134,65.24266052246094,95067
652,145.0,146,65.24266052246094,95213
653,133.0,134,65.24266052246094,95347
654,286.0,287,65.24266052246094,95634
655,145.0,146,65.24266052246094,95780
656,145.0,146,65.24266052246094,95926
657,288.0,289,65.24266052246094,96215
658,132.0,133,82.49740600585938,96348
659,176.0,177,82.49740600585938,96525
660,155.0,156,82.49740600585938,96681
661,70.0,71,82.49740600585938,96752
662,124.0,125,82.49740600585938,96877
663,176.0,177,82.49740600585938,97054
664,134.0,135,82.49740600585938,97189
665,64.0,65,82.49740600585938,97254
666,175.0,176,82.49740600585938,97430
667,177.0,178,82.49740600585938,97608
668,124.0,125,82.49740600585938,97733
669,132.0,133,82.49740600585938,97866
670,299.0,300,82.49740600585938,98166
671,194.0,195,38.32757568359375,98361
672,173.0,174,38.32757568359375,98535
673,213.0,214,38.32757568359375,98749
674,192.0,193,38.32757568359375,98942
675,85.0,86,38.32757568359375,99028
676,145.0,146,38.32757568359375,99174
677,213.0,214,38.32757568359375,99388
678,147.0,148,38.32757568359375,99536
679,173.0,174,38.32757568359375,99710
680,176.0,177,38.32757568359375,99887
681,176.0,177,38.32757568359375,100064
682,288.0,289,16.48082733154297,100353
683,230.0,231,16.48082733154297,100584
684,286.0,287,16.48082733154297,100871
685,83.0,84,16.48082733154297,100955
686,176.0,177,16.48082733154297,101132
687,177.0,178,16.48082733154297,101310
688,133.0,134,16.48082733154297,101444
689,177.0,178,16.48082733154297,101622
690,286.0,287,16.48082733154297,101909
691,173.0,174,16.48082733154297,102083
692,176.0,177,16.48082733154297,102260
693,288.0,289,59.160213470458984,102549
694,170.0,171,59.160213470458984,102720
695,193.0,194,59.160213470458984,102914
696,176.0,177,59.160213470458984,103091
697,563.0,564,59.160213470458984,103655
698,145.0,146,59.160213470458984,103801
699,176.0,177,59.160213470458984,103978
700,213.0,214,59.160213470458984,104192
701,194.0,195,59.160213470458984,104387
702,176.0,177,56.338314056396484,104564
703,178.0,179,56.338314056396484,104743
704,176.0,177,56.338314056396484,104920
705,302.0,303,56.338314056396484,105223
706,145.0,146,56.338314056396484,105369
707,133.0,134,56.338314056396484,105503
708,176.0,177,56.338314056396484,105680
709,299.0,300,56.338314056396484,105980
710,177.0,178,56.338314056396484,106158
711,324.0,325,56.338314056396484,106483
712,145.0,146,120.02452850341797,106629
713,288.0,289,120.02452850341797,106918
714,194.0,195,120.02452850341797,107113
715,145.0,146,120.02452850341797,107259
716,146.0,147,120.02452850341797,107406
717,275.0,276,120.02452850341797,107682
718,213.0,214,120.02452850341797,107896
719,176.0,177,120.02452850341797,108073
720,148.0,149,120.02452850341797,108222
721,133.0,134,120.02452850341797,108356
722,134.0,135,120.02452850341797,108491
723,287.0,288,42.18557357788086,108779
724,299.0,300,42.18557357788086,109079
725,145.0,146,42.18557357788086,109225
726,145.0,146,42.18557357788086,109371
727,55.0,56,42.18557357788086,109427
728,176.0,177,42.18557357788086,109604
729,146.0,147,42.18557357788086,109751
730,133.0,134,42.18557357788086,109885
731,76.0,77,42.18557357788086,109962
732,79.0,80,42.18557357788086,110042
